Marca,Tamanho,Tecnologia,Tela,Entradas,Dominio,arquivo,title
"
SAMSUNG
","
50 Polegadas
","
QLED
","
1080 Pixels
","
Bluetooth, USB, HDMI
",Amazon,44.html,Smart TV 4K QLED 50” Samsung QN50Q60TAGXZD: Amazon.com.br: Eletrônicos
"
PHILIPS
","
50 Polegadas
","
LED
","
3840 x 2160 Pixels
","
Bluetooth, Wi-fi, USB, Ethernet, HDMI
",Amazon,59.html,"Smart TV Philips 50PUG7625 4K UHD, P5, HDR10+, Dolby Vision, Dolby Atmos, Bluetooth, WiFi, 3 HDMI, 2 USB - Preto Bordas ultrafinas | Amazon.com.br"
"
PHILIPS
","
43 Polegadas
","
LED
","
1920 x 1080 Pixels
","
Wi-Fi, USB, Ethernet, HDMI
",Amazon,66.html,"Smart TV Philips 43PFG6825/78-43"" Full HD sem bordas, HDR Plus, 3 HDMI, 2 USB, Wifi Miracast, Conversor digital, Netflix, Youtube, Globoplay e Prime Video | Amazon.com.br"
"
PHILIPS
","
32 Polegadas
","
LED
","
1366 x 768 Pixels
","
Wi-Fi, USB, Ethernet, HDMI
",Amazon,67.html,"Smart TV Philips 32PHG6825/78-32"" HD sem bordas, HDR Plus, 3 HDMI, 2 USB, Wifi Miracast, Conversor digital, Netflix, Youtube, Globoplay e Prime Video | Amazon.com.br"
"
TCL
","
43 Polegadas
","
LED
","
1920 x 1080
","
Bluetooth, Wi-Fi, USB, Ethernet, HDMI
",Amazon,83.html,"Smart TV LED 43"" Android TCl 43s6500 Full HD com Conversor Digital Wi-Fi Bluetooth 1 USB 2 HDMI Controle Remoto com Comando de Voz Google Assistant | Amazon.com.br"
"
LG
","
32 Polegadas
","
LED
","
1366 x 768 Pixels
","
Bluetooth, Wi-Fi, USB, Ethernet, HDMI
",Amazon,89.html,"Smart TV LG LCD 32” com Comandos de Voz, WebOS 4.5, Upscaler HD, HDR Ativo e Wi-Fi Preta - 32LM625BPSB | Amazon.com.br"
"
LG
","
32 Polegadas
","
LCD
","
1366768 Pixels
","
USB, Ethernet, HDMI
",Amazon,90.html,"Smart TV LED 32"" HD LG 32LM621CBSB.A, 3 HDMI, 2 USB, Bluetooth, Wi-Fi, Active HDR, ThinQ AI | Amazon.com.br"
"
LG
","
55 Polegadas
","
LED
","
1080 Pixels
","
HDMI
",Amazon,92.html,"Smart TV LED 55"" 4K UHD LG 55UN731C, 3 HDMI, 2 USB, Wi-Fi, Assistente Virtual e Bluetooth | Amazon.com.br"
"
SAMSUNG
","
50 Polegadas
","
LED
","
2160 Pixels
","
USB, HDMI
",Amazon,94.html,"Smart TV LED 50"" 4K Samsung LH50BETHVGGXZD, 2 HDMI, 1 USB, Wi-Fi, Tyzen | Amazon.com.br"
"
AOC
","
43 Polegadas
","
LED
","
1920 Pixels
","
Wi-Fi, USB, Video Composto, Ethernet, HDMI
",Amazon,95.html,"Smart TV LED 43"" Full HD AOC ROKU TV FHD 43S5195/78G, Wi-Fi, 3 HDMI, 1 USB, Wifi, Conversor Digital | Amazon.com.br"
"
PHILCO
",32,"
LED
","
1366 X 768
","
USB, Ethernet, HDMI
",Amazon,100.html,"TV 32"" HD Backlight D-LED Philco PTV32F10D, Receptor Digital Integrado - Bivolt | Amazon.com.br"
"
LG
","
23.6 Polegadas
","
LED
",768,"
HDMI
",Amazon,101.html,"Smart TV LED 24"" Monitor LG 24TL520S, Wi-Fi, WebOS 3.5, DTV Machine Ready | Amazon.com.br"
"
SAMSUNG
","
65 Polegadas
","
QLED
","
3.840 X 2.160 Pixels
","
Bluetooth, USB, Ethernet, HDMI, Sem fio
",Amazon,138.html,Tv Samsung Smart 65'' QLED QN65Q80TAGXZD | Amazon.com.br
"
Panasonic
","
55 Polegadas
","
LED
","
16 Pixels
","
Wi-Fi, USB, Ethernet, HDMI
",Amazon,139.html,"Smart TV LED 55"", Resolução 4K Ultra HD, Panasonic, TC-55GX500B | Amazon.com.br"
"
SAMSUNG
","
55 Polegadas
","
QLED
","
1080 Pixels
","
Bluetooth, USB, Ethernet, HDMI
",Amazon,140.html,"Smart TV 4K Samsung QLED 55"" UHD - QN55Q60TAGXZD | Amazon.com.br"
"
SAMSUNG
",50,"
LED
","
3840 x 2160 Pixels
","
HDMI
",Amazon,141.html,"Smart TV LED 50"" 4K Cristal UHD Samsung UN50TU8000GXZD, HDMI 2, USB 1, WI-FI | Amazon.com.br"
"
PHILCO
","
24 Polegadas
","
LED
","
1366 x 768
","
USB, HDMI
",Amazon,142.html,"TV LED 24"" Philco PH24N91D HD com Conversor Digital 1 HDMI 1 USB | Amazon.com.br"
"
PHILCO
",24,"
LED
","
1366 x 768 Pixels
","
HDMI
",Amazon,143.html,"TV LED 24"" HD PHILCO PTV24C10D, Resolução HD, Recepção Digital, Preta Bivolt | Amazon.com.br"
"
Semp
","
43 Polegadas
","
LED
","
1920 x 1080
","
Bluetooth, USB, Ethernet, HDMI, Wifi
",Amazon,144.html,"Smart TV LED 43'' Full HD Semp 43S5300, 2 HDMI 1 USB, Wi-Fi, Google Assistant, Controle Remoto Com Comando De Voz, Android | Amazon.com.br"
"
Panasonic
",43,"
LED
","
1080p
","
USB, HDMI
",Amazon,145.html,"PANASONIC SMART TV LED 43"" FHD, 2 HDMI, 2 USB, WI-FI - 1 ANO DE GARANTIA | Amazon.com.br"
"
Multilaser
","
32 Polegadas
","
LED
","
1366 Pixels
","
Wi-fi
",Amazon,146.html,Tela 32 Polegadas HD Com Função Smart E Wi-Fi Integrado Multilaser - TL020 | Amazon.com.br
"
SAMSUNG
","
65 Polegadas
","
QLED
","
3.840 X 2.160 Pixels
","
Bluetooth, USB, Ethernet, HDMI, Sem fio
",Amazon,148.html,Tv Samsung Smart 65'' QLED QN65Q80TAGXZD | Amazon.com.br
"
Panasonic
","
55 Polegadas
","
LED
","
16 Pixels
","
Wi-Fi, USB, Ethernet, HDMI
",Amazon,149.html,"Smart TV LED 55"", Resolução 4K Ultra HD, Panasonic, TC-55GX500B | Amazon.com.br"
"
PHILCO
","
24 Polegadas
","
LED
","
1366 x 768
","
USB, HDMI
",Amazon,150.html,"TV LED 24"" Philco PH24N91D HD com Conversor Digital 1 HDMI 1 USB | Amazon.com.br"
"
PHILIPS
","
50 Polegadas
","
LED
","
3840 Pixels
","
Bluetooth, USB, Video Composto, Ethernet, HDMI
",Amazon,153.html,"Smart TV 50"" 4K PHILIPS 50PUG6654/78, UHD, HDR10+, Dolby Vision, Dolby Atmos, Bluetooth, WiFi, 3 HDMI, 2 USB | Amazon.com.br"
"
Semp
","
43 Polegadas
","
LED
","
1920 x 1080
","
Bluetooth, USB, Ethernet, HDMI, Wifi
",Amazon,154.html,"Smart TV LED 43'' Full HD Semp 43S5300, 2 HDMI 1 USB, Wi-Fi, Google Assistant, Controle Remoto Com Comando De Voz, Android | Amazon.com.br"
"
Semp
",50,"
LED
","
4K
","
Bluetooth, Wi-Fi, USB, HDMI
",Amazon,155.html,Android TV LED 50” SEMP SK8300 Ultra HD 4K HDR | Amazon.com.br
"
Semp
","
32 Polegadas
","
LED
","
1366 x 768
","
Bluetooth, USB, Ethernet, Sem fio, HDMI
",Amazon,156.html,"Smart TV LED 32"" HD Android SEMP 32S5300, Conversor Digital, Wi-Fi, Bluetooth, 1 USB, 2 HDMI, Comando de Voz e Google Assistant | Amazon.com.br"
"
PHILCO
",32,"
LED
","
1366 x 768
","
Ethernet, HDMI
",Amazon,157.html,Smart TV Philco PTV32G70SBL LED- HD- WIFI integrado | Amazon.com.br
"
Panasonic
","
32 Polegadas
","
LED
","
1366 x 768
","
Wi-Fi, USB, Ethernet, HDMI
",Amazon,158.html,"Smart TV LED 32"" HD Panasonic, 2 HDMI, USB, Bluetooth, Wi-Fi - TC-32FS600B | Amazon.com.br"
"
PHILCO
",24,"
LED
","
1366 x 768 Pixels
","
HDMI
",Amazon,163.html,"TV LED 24"" HD PHILCO PTV24C10D, Resolução HD, Recepção Digital, Preta Bivolt | Amazon.com.br"
"
PHILCO
","
32 Polegadas
","
LED
","
1366 X 768 Pixels
","
USB, Ethernet, HDMI, Sem fio
",Amazon,164.html,"Smart TV, PTV32G52S, 32"" Polegadas, Tela LED, Wi-Fi integrado, Entradas HDMI e USB, Conversor digital integrado, Philco | Amazon.com.br"
"
PHILCO
","
28 Polegadas
","
LED
","
1366 x 768 Pixels
","
Wi-fi
",Amazon,166.html,"TV Monitor Smart LED 28"" HD Philco PTV28G50SN com Wi-Fi, Netflix, Conversor Digital Integrado, Dolby Audio, Midiacast, Entradas HDMI e USB | Amazon.com.br"
"
PHILCO
",55,"
LED
","
3840 x 2160
","
USB, HDMI
",Amazon,169.html,Smart TV LED 55 UHB 4K PHILCO PTV55Q20SNBL com Netflix | Amazon.com.br
"
PHILCO
",50,"
LED
","
3840 x 2160
","
Ethernet, HDMI
",Amazon,170.html,"Smart TV Philco PTV50G71AGBLS 4K LED - UHD, borda infinita, comando de voz | Amazon.com.br"
"
PHILIPS
","
58 Polegadas
","
LED
","
3840 Pixels
","
Bluetooth, USB, Video Composto, Ethernet, HDMI
",Amazon,172.html,"Smart TV Philips 58"" 58PUG6654/78 4K UHD HDR10+ Dolby Vision Dolby Atmos Bluetooth WiFi 3 HDMI 2 USB - Prata Bordas ultrafinas | Amazon.com.br"
"
Panasonic
",43,"
LED
","
1080p
","
USB, HDMI
",Amazon,175.html,"PANASONIC SMART TV LED 43"" FHD, 2 HDMI, 2 USB, WI-FI - 1 ANO DE GARANTIA | Amazon.com.br"
"
LG
","
32 Polegadas
","
LED
","
HD (1366 x 768)
","
USB, HDMI
",Amazon,180.html,"LG 32LV300C - TV LED 32"" 1 HDMI 1 USB, Frequência 60 Hz com Conversor Digital Integrado | Amazon.com.br"
"
TCL
","
65 Polegadas
","
LED
","
4K
","
Bluetooth, Wi-Fi, USB, Ethernet, HDMI
",Amazon,551.html,"Smart TV LED 65"" 4K Ultra HD TCL 65P715 3 HDMI 2 USB Android Wi-Fi Bluetooth | Amazon.com.br"
"
Sony
","
65 Polegadas
","
LED
","
3840 x 2160
","
Wi-Fi, USB, Ethernet, HDMI
",Amazon,552.html,"Smart TV 65"" LED 4K UHD HDR Smart & Durável KD-65X705G | KD-65X705G BR6 | Amazon.com.br"
"
Teste
","
65 Polegadas
","
OLED
","
3840 x 2160
","
USB, Ethernet, HDMI, Wifi
",Amazon,553.html,"Smart TV 65"" OLED 4K UHD HDR Android TV XBR-65A9G | Amazon.com.br"
"
Panasonic
","
55 Polegadas
","
LED
","
8.3 MP
","
Bluetooth, USB, Ethernet, HDMI, Sem fio
",Amazon,555.html,"Smart TV LED 55"" 4K UHD Panasonic TC-55HX550B, HDR10+, Sistema Android, Bivolt | Amazon.com.br"
"
LG
","
50 Polegadas
","
LED
","
3840 x 2160 Pixels
","
Bluetooth, Wi-Fi, USB, Ethernet, HDMI
",Amazon,556.html,"Smart TV LG LED 50"" 4K UHD 50UN731C, 3 HDMI, 2 USB, Wi-Fi, Assistente Virtual, Bluetooth | Amazon.com.br"
"
PHILCO
","
22 Polegadas
","
LED
","
1920 x 1080
","
HDMI
",Amazon,558.html,TV LED 22'' Philco PTV22G50D Full HD 2 HDMI 1 USB Preta | Amazon.com.br
"
SAMSUNG
","
58 Polegadas
","
LED
","
3840 x 2160 Pixels
","
USB, HDMI, Wifi
",Amazon,559.html,"Smart TV LED 58"" UHD 4K Samsung UN58TU7000GXZD, Processador Crystal 4K, HDR, Borda Infinita, Controle Remoto Único, Bluetooth, Visual Livre de Cabos | Amazon.com.br"
"
Sony
","
75 Polegadas
","
LED
","
3840 x 2160
","
Wi-fi, Ethernet
",Amazon,560.html,"Smart TV LED, Grande, Sony, XBR-75X955G, 75, Preta, Compatível com Alexa | Amazon.com.br"
"
SAMSUNG
","
55 Polegadas
","
LED
","
2160 Pixels
","
HDMI
",Amazon,561.html,"Smart TV LED 55"" Ultra HD 4K HDR Samsung LH55BETHVGGXZD, Tyzen, 2 HDMI, 1 USB, Wi-fi | Amazon.com.br"
"
PHILCO
",40,"
LED
","
1920 X 1080
","
USB, Ethernet, HDMI
",Amazon,562.html,"Smart Android Google TV PHILCO 40"" TV PTV40G71AGBL LED - GLOBO PLAY- YOUTUBE | Amazon.com.br"
"
SAMSUNG
","
43 Polegadas
","
LED
","
1080 Pixels
","
HDMI
",Amazon,564.html,"Smart TV LED 43"" Full HD Samsung LH43BETMLGGXZD, 2 HDMI, 1 USB, Wi-Fi, HDR, Sistema Operacional Tizen e Dolby Digital Plus | Amazon.com.br"
"
SAMSUNG
",43,"
UHD 4K
","
3.840 x 2.160
","
Bluetooth, Ethernet, HDMI
",Amazon,565.html,"Smart TV LED 43"" UHD 4K Samsung UN43TU7000GXZD, Processador Crystal 4K, HDR, Borda Infinita, Controle Remoto Único, Bluetooth, Visual Livre de Cabos | Amazon.com.br"
"
PHILIPS
","
55 Polegadas
","
LED
","
3840 x 2160 Pixels
","
Bluetooth, Wi-fi, USB, Ethernet, HDMI
",Amazon,568.html,"Smart TV Philips 55PUG7625 4K UHD, P5, HDR10+, Dolby Vision, Dolby Atmos, Bluetooth, WiFi, 3 HDMI, 2 USB - Preto Bordas ultrafinas | Amazon.com.br"
"
Multilaser
","
32 Polegadas
","
LED
","
1366 Pixels
","
Wi-fi
",Amazon,572.html,Tela 32 Pol. HD Multilaser Entradas HDMI USB - TL022 | Amazon.com.br
"
TCL
","
40 Polegadas
","
LED
","
1920 x 1080
","
Bluetooth, Wi-Fi, USB, Ethernet, HDMI
",Amazon,576.html,"Smart TV LED 40"" Full HD Android TCL 40S6500, Wi-Fi, HDR, Inteligência Artificial, 2 HDMI, 1 USB | Amazon.com.br"
"
SAMSUNG
","
43 Polegadas
","
LED
","
3840 x 2160
","
Wi-Fi, USB, Ethernet, HDMI
",Amazon,578.html,"Smart TV LED UHD 4K 43"", Samsung, UN43NU7100GXZD | Amazon.com.br"
"
LG
","
55 Polegadas
","
LED
","
3840 X 2160 Pixels
","
VGA, Bluetooth, USB, Ethernet, HDMI
",Amazon,579.html,"Smart TV 55"" 4K LG 55UN7310PSC, UHD, WiFi, Bluetooth, HDR, Inteligência Artificial ThinQAI, Controle Smart Magic, Google e Alexa | Amazon.com.br"
"
PHILIPS
","
43 Polegadas
","
LED
","
1920 Pixels
","
Wi-Fi, USB, Video Composto, Ethernet, HDMI
",Amazon,580.html,"Smart TV LED 43"" Philips 43PFG5813/78, Ultra Slim, Wi-Fi, 2 HDMI, 2 USB | Amazon.com.br"
"
PHILCO
",55,"
LED
","
3840 x 2160
","
USB, Ethernet, HDMI
",Amazon,581.html,"Smart TV LED 4K 55"" PHILCO PTV55G70SBLSG, Conexão Wireless, Mídia Cast, Processador Gráfico Triple Core | Amazon.com.br"
"
PHILIPS
","
32 Polegadas
","
LED
","
1366 Pixels
","
Wi-Fi, USB, Video Composto, Ethernet, HDMI
",Amazon,582.html,"Smart TV LED 32"" Philips 32PHG581378 HD Conversor Digital 2 HDMI 2 USB Wi-fi 60hz - Preta | Amazon.com.br"
"
Sony
","
65 Polegadas
","
LED
","
3840 x 2160
","
Wi-Fi, USB, Ethernet, HDMI
",Amazon,586.html,"Smart TV 65"" LED 4K UHD HDR Smart & Durável KD-65X705G | KD-65X705G BR6 | Amazon.com.br"
"
Teste
","
65 Polegadas
","
OLED
","
3840 x 2160
","
USB, Ethernet, HDMI, Wifi
",Amazon,587.html,"Smart TV 65"" OLED 4K UHD HDR Android TV XBR-65A9G | Amazon.com.br"
"
LG
","
65 Polegadas
","
OLED
","
4K
","
Bluetooth, Wi-Fi, USB, HDMI
",Amazon,589.html,Smart TV 4K LG OLED AI 65 IA Cinema HDR Wi-Fi - OLED65CXPSA | Amazon.com.br
"
Panasonic
","
65 Polegadas
","
LED
","
8.3 MP
","
USB, Ethernet, HDMI, Sem fio
",Amazon,590.html,"TV Panasonic TC-65GX500B, LED, 65"" 4K Ultra HD, HDR | Amazon.com.br"
"
Multilaser
","
32 Polegadas
","
LED
","
1366 Pixels
","
Wi-fi
",Amazon,592.html,Tela 32 Polegadas HD Com Função Smart E Wi-Fi Integrado Multilaser - TL020 | Amazon.com.br
"
SAMSUNG
","
75 Polegadas
","
LED
","
3840 x 2160
","
Bluetooth, Wi-Fi, USB, Ethernet, HDMI
",Amazon,625.html,"Tv Samsung Smart 4K 75"" UN75TU8000GXZD | Amazon.com.br"
"
SAMSUNG
","
55 Polegadas
","
LED
","
3840 x 2160
","
Wi-Fi, USB, Ethernet, HDMI
",Amazon,914.html,"Smart TV LED 55"" Samsung Ultra HD 4k 55NU7100 com Conversor Digital 3 HDMI 2 USB Wi-Fi Solução Inteligente de Cabos HDR Premium Smart Tizen | Amazon.com.br"
"
SAMSUNG
","
55 Polegadas
","
QLED
","
3840 x 2160 Pixels
","
Bluetooth, USB, Ethernet, HDMI
",Amazon,916.html,Samsung Smart TV QLED 4K The Frame QN55LS03TAGXZD | Amazon.com.br
null,43 Pol,LED,1920 x 1080,null,carrefour,3.html,"Smart TV 43'' LCD LED Philips 43PFG5813, Full HD, com Wi-Fi, 2 USB, 2 HDMI, Conversor Digital e Função Monitor - Carrefour"
null,58 Pol,LED,3840 X 2160,null,carrefour,5.html,"Smart TV Philips LED 58', 58PUG6654/78, 4K, UHD - Carrefour"
null,65 Pol,LED,4k,null,carrefour,7.html,Smart TV LED 65' 4K UHD LG 65UN731C 3 HDMI 2 USB Wi-Fi Assitente Virtual Bluetooth - Carrefour
null,60 Pol,LED,UHD 4K,null,carrefour,8.html,"Smart TV LED 60"" LG UN7310 UHD 4K Wi-Fi, Bluetooth, HDR 10 PRO e HLG Pro, Thinq AI, Google Assistente, Alexa - Carrefour"
null,70 Pol,LED,3840 X 2160,null,carrefour,9.html,"Smart TV LED 70"" LG UN7310 UHD 4K Wi-Fi, Bluetooth, HDR 10 PRO e HLG Pro, Thinq AI, Google Assistente, Alexa - Carrefour"
null,65 Pol,LED,3840 X 2160,null,carrefour,10.html,"Smart TV LED 65"" LG UN7310 UHD 4K Wi-Fi, Bluetooth, HDR 10 Pro e HLG Pro, Thinq AI, Google Assistente, Alexa - Carrefour"
null,55 Pol,LED,UHD 4K,null,carrefour,11.html,"Smart TV LED 55"" LG UN7310 UHD 4K Wi-Fi, Bluetooth, HDR 10 PRO e HLG Pro, Thinq AI, Google Assistente, Alexa - Carrefour"
null,43 Pol,LED,3840 X 2160,null,carrefour,12.html,"Smart TV LED 43"" LG 43UN7300 UHD 4K Bluetooth HDR 10 Thing Ai Google Assistente - Alexa Iot Função Gamer - Carrefour"
null,58 Pol,LED,Ultra HD 4K - 3840 x 2160 pixels,null,carrefour,14.html,"Smart TV LED 58"" Philco PTV58G71AGBLS UHD 4K Android TV, Processador Quad Core, Dolby Vision e Áudio, Wi-Fi - Carrefour"
null,55,LED,"3,840 x 2,160",null,carrefour,71.html,Smart TV Samsung 55 LH55BETHVGGXZD Crystal 4K HDR10 Processador Tecnologia de Business TV - Carrefour
null,55,QLED,4K,null,carrefour,72.html,Smart Tv Samsung 55 Polegadas QLED 4K Ultra QN50Q60TAGXZD - Carrefour
null,82 Pol,LED,4k,null,carrefour,78.html,"Smart TV LED 82"" LG UN8000 UHD 4K Wi-Fi, Bluetooth, HDR 10 Pro e HLG Pro, Thinq AI, Google Assistente, Alexa - Carrefour"
null,43 Pol,LED,UHD 4K,null,carrefour,83.html,"Samsung Smart TV QLED 4K The Frame 43"" Modo Arte, Modo Ambiente 3.0, Molduras customizáveis e Suporte No-Gap - Carrefour"
null,65 Pol,OLED,4k,null,carrefour,99.html,"Smart TV OLED 65"" LG OLED65GXPSA UHD 4K Bluetooth + Smart TV LED 65"" LG UN7310 UHD 4K Wi-Fi, Bluetooth - Carrefour"
null,65 Pol,OLED,4k,null,carrefour,100.html,"Smart TV OLED 65"" LG OLED65GXPSA UHD 4K Bluetooth, Google Assistente + Smart TV LED 55"" LG UN7310 UHD 4K - Carrefour"
null,77 Pol,OLED,4k,null,carrefour,101.html,"Smart TV OLED 77"" LG OLED77CXPSA UHD 4K Bluetooth, HDR, Thinq AI, @9 Processador, Google Assistente Alexa - Carrefour"
null,55 Pol,LED,UHD 4K,null,carrefour,107.html,"Samsung Smart TV QLED 4K The Frame 55"" Modo Arte, Modo Ambiente 3.0 + Smart TV LED 32"" Samsung T4300 HD WIFI - Carrefour"
null,50 Pol,LED,UHD 4K,null,carrefour,115.html,"Samsung Smart TV 50"" Crystal UHD TU7000 4K, Borda Infinita, Controle Único, Bluetooth, Processador Crystal 4K - Carrefour"
null,75 Pol,LED,UHD 8K,null,carrefour,119.html,"Samsung Smart TV 75"" QLED 8K Q800T Processador com IA, Suporte No-Gap, Alexa, Som em Movimento, Modo Ambiente - Carrefour"
null,65 Pol,LED,UHD 8K,null,carrefour,127.html,"Samsung Smart TV 65"" QLED Q800T 8K Processador com IA, Suporte No-Gap, Alexa, Som em Movimento, Modo Ambiente - Carrefour"
"
Marca: LG
","

                
                    
                    
                    
                        23.6 polegadas
                    
                
                
            
","

                
                    
                    
                    
                        VA
                    
                
                
            
","

                
                    
                    
                    
                        1366 x 768
                    
                
                
            
",null,Colombo,2.html,"Smart TV LED 23,6'' LG, Wi-Fi, 2 HDMI, USB - 24TL52 - Colombo "
"
Marca: Panasonic
","

                
                    
                    
                    
                        55 polegadas
                    
                
                
            
","

                
                    
                    
                    
                        Ultra HD 4K
                    
                
                
            
","

                
                    
                    
                    
                        3840 x 2160 (4K QFHD)
                    
                
                
            
",null,Colombo,10.html,"Smart TV Ultra HD LED 55'' Panasonic, 4K, 3 HDMI, 1 USB, Wi-Fi - TC-55GX500B - Colombo "
"
Marca: Semp Tcl
","

                
                    
                    
                    
                        55 polegadas
                    
                
                
            
","

                
                    
                    
                    
                        LCD
                    
                
                
            
","

                
                    
                    
                    
                        3840 x 2100 (4K UHD)
                    
                
                
            
",null,Colombo,38.html,"Smart TV LED 55'' TCL 4K, 3 HDMI, 2 USB, com Wi-Fi - 55P8M - Colombo "
"
Marca: Sony
","

                
                    
                    
                    
                        55 polegadas
                    
                
                
            
","

                
                    
                    
                    
                        LED
                    
                
                
            
","

                
                    
                    
                    
                        3840 x 2160 4K
                    
                
                
            
",null,Colombo,41.html,"AndroidTV 4K UHD 55"" Sony XBR-55X805G - Mais Cores e Google Assistente - Colombo "
"
Marca: Semp Tcl
","

                
                    
                    
                    
                        50 polegadas
                    
                
                
            
","

                
                    
                    
                    
                        LCD
                    
                
                
            
","

                
                    
                    
                    
                        3840 x 2100 (4K UHD)
                    
                
                
            
",null,Colombo,42.html,"Smart TV LED 50'' TCL 4K, 3 HDMI, 2 USB, com Wi-Fi - 50P8M - Colombo "
